ID,Plataformas,FrecuenciaInternet,SeriesFavoritas,FrecuenciaNetflix,RecenciaNetflix,IntencionNetflix1,BenefEsp1,BenefEsp2,BenefEsp3,BenefEsp4,BenefEsp5,BenefEsp6,BenefEsp7,BenefEsp8,BenefEsp9,BenefEsp10,BenefEsp11,BenefEsp12,BenefEsp13,Actitud1,Actitud2,Actitud3,Barreras1,Barreras2,Barreras3,Barreras4,Barreras5,Barreras6,Barreras7,Barreras8,Barreras9,ControlPerc1,NormaDescriptiva1,NormaDescriptiva2,NormaSubjetiva1,NormaSubjetiva2,IntencionNetflix2,ControlPerc2,Sexo,Edad,TiempoResp
63,Netflix,Entre 2 y 3 horas,Science Fiction;humour/comédie;romantique,6,NA,NA,5,NA,5,5,NA,NA,NA,NA,5,5,5,5,5,4,5,5,4,5,2,3,3,3,3,3,5,NA,5,5,5,5,NA,NA,Mujer,18,218.7795796
64,Netflix;OCS;Canal+ série et/ou film,Entre 0 y 30 minutos,humour/comédie;documentaire;jeunesse et famille,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,4,5,5,1,2,4,4,4,5,3,6,6,NA,NA,NA,5,5,NA,5,Mujer,24,475.5999723
65,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 2 y 3 horas,humour/comédie;horreur;documentaire,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,4,4,5,5,5,4,5,5,5,3,4,5,NA,2,NA,2,5,NA,NA,Mujer,19,281.3054282
66,Netflix;Canal+ série et/ou film;Apple TV+,Entre 30 minutos y 1 hora,Ciencia Ficcion;Aventura/Accion;Romantica,4,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,6,6,4,4,3,6,4,6,6,NA,5,NA,NA,NA,5,NA,Mujer,19,757.9642905
67,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo,7 o m?s horas,humour/comédie;drame;thriller,6,NA,NA,NA,1,5,NA,5,NA,5,NA,5,NA,NA,NA,NA,3,4,4,4,1,6,3,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,Mujer,18,490.720036
68,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo,Entre 30 minutos y 1 hora,Ciencia Ficcion;Aventura/Accion;Documental,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,5,4,3,4,5,3,5,6,2,4,2,5,5,5,NA,NA,NA,NA,NA,5,Hombre,20,450.3299294
69,Netflix,Entre 3 y 5 horas,Ciencia Ficcion;Terror;Documental,6,NA,NA,5,2,1,NA,NA,NA,NA,NA,5,5,5,5,NA,4,4,5,6,4,6,6,5,6,5,6,6,NA,NA,5,1,1,NA,5,Hombre,22,560.616389
70,Netflix;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo,Entre 2 y 3 horas,Documental;Drama;Romantica,5,NA,NA,NA,1,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,2,2,5,2,1,5,6,1,1,1,6,1,NA,1,NA,1,NA,NA,NA,Mujer,20,213.9763098
71,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo;disney+;autre (précisez),Entre 2 y 3 horas,Science Fiction;horreur;animé,5,NA,5,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,5,NA,5,6,6,4,4,6,5,4,3,5,4,5,NA,NA,NA,5,5,NA,NA,Hombre,18,361.2682576
72,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo;disney+,Entre 1 y 2 horas,Drama;Thriller;Infantil,6,NA,NA,5,NA,NA,NA,5,5,5,NA,NA,NA,NA,NA,5,4,5,6,1,2,3,4,4,4,2,4,3,5,5,5,NA,5,NA,5,Mujer,18,412.0561163
73,Netflix;Canal+ série et/ou film;Amazone prime vidéo;disney+,Entre 2 y 3 horas,TV réalité;aventure/action;jeunesse et famille,6,NA,NA,NA,1,NA,5,NA,1,NA,NA,NA,1,NA,NA,5,4,6,5,4,5,6,3,2,2,4,5,2,NA,NA,NA,NA,NA,NA,NA,Mujer,20,266.3289607
74,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo;disney+,Entre 2 y 3 horas,humour/comédie;horreur;romantique,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,4,4,5,3,4,3,5,4,1,4,2,3,5,5,NA,NA,NA,5,5,Mujer,18,391.7174618
75,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo;disney+,Entre 2 y 3 horas,humour/comédie;animé;jeunesse et famille,5,NA,5,NA,2,NA,NA,5,5,NA,NA,NA,5,NA,NA,5,6,6,6,3,5,6,5,4,2,4,3,3,NA,NA,NA,NA,NA,5,5,Mujer,18,211.4797178
76,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 1 y 2 horas,Science Fiction;humour/comédie;animé,5,NA,NA,NA,NA,2,2,5,5,NA,NA,1,NA,NA,5,NA,5,5,5,4,3,4,5,3,1,2,1,1,NA,NA,NA,NA,5,NA,NA,Hombre,21,380.2391929
77,Netflix;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 1 y 2 horas,humour/comédie;jeunesse et famille;romantique,6,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,5,6,5,6,6,5,4,3,3,3,2,6,5,NA,5,NA,NA,NA,NA,NA,Mujer,20,361.1355813
78,Netflix,Entre 0 y 30 minutos,humour/comédie,1,1,1,1,NA,5,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,3,3,2,2,3,2,2,1,2,2,2,5,1,5,2,5,1,NA,Mujer,18,263.6991974
79,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 2 y 3 horas,Ciencia Ficcion;Drama;Thriller,6,NA,NA,NA,1,2,5,5,NA,5,NA,2,NA,NA,5,5,3,5,5,6,6,6,6,2,6,1,6,6,NA,NA,NA,NA,NA,5,NA,Hombre,18,311.2071114
80,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+;autre (précisez),Entre 1 y 2 horas,Science Fiction;humour/comédie;documentaire,4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,3,5,6,2,1,3,3,4,4,3,5,6,NA,5,NA,NA,5,NA,NA,Hombre,19,359.6558422
81,Netflix;OCS;Amazone prime vidéo;disney+,Entre 2 y 3 horas,Science Fiction;humour/comédie;horreur,5,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,4,5,5,6,5,5,6,4,5,5,6,5,5,5,NA,NA,NA,5,NA,Mujer,18,203.8549793
82,Netflix;Canal+ série et/ou film,Entre 30 minutos y 1 hora,Aventura/Accion;Drama;Romantica,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,1,1,1,3,4,4,4,4,4,2,1,NA,1,NA,1,NA,Mujer,18,925.2037478
83,Netflix;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 1 y 2 horas,TV réalité;humour/comédie;romantique,3,NA,NA,5,5,5,5,NA,5,NA,5,5,5,5,NA,NA,4,5,5,5,3,6,6,4,6,5,6,6,5,NA,NA,NA,NA,NA,NA,Mujer,19,386.925335
84,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 2 y 3 horas,humour/comédie;animé;autre (précisez),3,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,3,4,5,5,3,6,2,2,1,3,3,1,NA,NA,NA,NA,NA,NA,NA,Hombre,18,349.6872674
85,Netflix;Canal+ série et/ou film,Entre 1 y 2 horas,Aventura/Accion;Drama;Infantil,5,NA,NA,NA,NA,NA,NA,5,5,NA,5,NA,NA,NA,NA,NA,4,5,5,3,6,5,6,6,6,5,6,4,NA,NA,NA,2,5,NA,NA,Mujer,18,319.7661826
86,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 3 y 5 horas,Science Fiction;humour/comédie;aventure/action,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4,5,6,4,3,6,4,5,5,5,5,3,NA,NA,NA,NA,NA,NA,NA,Hombre,19,277.1064854
87,Netflix;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 30 minutos y 1 hora,TV réalité;humour/comédie;aventure/action,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,5,6,6,6,4,5,3,2,5,1,6,6,NA,NA,NA,2,5,NA,NA,Mujer,20,466.5779273
88,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo;disney+,Entre 3 y 5 horas,humour/comédie;historique;drame,5,NA,NA,5,2,NA,NA,NA,2,2,2,5,2,5,2,2,2,3,4,5,3,4,4,3,5,3,4,4,NA,NA,5,NA,5,NA,NA,Mujer,20,561.9142588
89,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 0 y 30 minutos,Ciencia Ficcion;Aventura/Accion;Documental,3,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,4,6,4,5,6,6,6,4,6,4,6,6,5,5,5,NA,NA,NA,NA,Hombre,19,292.5857181
90,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 1 y 2 horas,Science Fiction;humour/comédie;aventure/action,3,5,5,5,2,NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,4,4,4,2,2,4,4,3,6,3,4,4,5,5,NA,NA,NA,NA,NA,Hombre,19,290.5636556
91,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo,Entre 3 y 5 horas,Ciencia Ficcion;Aventura/Accion;Thriller,6,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,4,6,3,6,4,4,6,5,6,NA,NA,NA,NA,NA,NA,NA,Mujer,18,281.9661808
92,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 30 minutos y 1 hora,humour/comédie;aventure/action;thriller,6,5,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,4,4,4,4,4,3,4,3,3,5,NA,NA,NA,NA,NA,NA,Hombre,18,303.3068992
93,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo,Entre 2 y 3 horas,humour/comédie;horreur;thriller,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,5,5,5,3,3,6,3,2,1,6,6,NA,NA,NA,NA,NA,NA,NA,Mujer,21,325.6161532
94,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo,Entre 1 y 2 horas,humour/comédie;horreur;documentaire,6,NA,NA,NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3,3,6,1,1,2,3,1,3,1,4,6,NA,2,NA,2,5,NA,NA,Mujer,19,422.7586079
95,Netflix;Canal+ série et/ou film;Amazone prime vidéo;disney+,Entre 30 minutos y 1 hora,TV réalité;humour/comédie;romantique,6,NA,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,5,NA,3,6,6,4,6,4,4,4,4,5,4,4,NA,NA,NA,NA,NA,NA,5,Mujer,18,340.3392636
96,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,7 o m?s horas,Science Fiction;humour/comédie;animé,4,NA,NA,NA,2,5,NA,NA,2,5,NA,NA,1,NA,NA,2,3,5,5,2,6,6,5,5,4,2,6,6,5,NA,NA,NA,NA,NA,NA,Hombre,22,467.467659
97,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo,Entre 2 y 3 horas,Ciencia Ficcion;Terror;Thriller,4,NA,NA,NA,2,NA,5,5,NA,5,NA,NA,2,5,5,2,4,4,4,2,4,6,6,3,5,3,6,6,5,NA,NA,5,NA,NA,NA,Mujer,24,469.2396033
98,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo,Entre 2 y 3 horas,Ciencia Ficcion;Historica;Thriller,6,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,3,2,3,3,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,Mujer,20,238.3127706
99,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo;disney+,Entre 3 y 5 horas,drame;thriller;animé,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,1,1,4,3,1,2,1,3,5,NA,NA,NA,NA,2,NA,NA,Mujer,18,290.4782941
100,Netflix,Entre 2 y 3 horas,humour/comédie;aventure/action;thriller,4,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,4,4,4,4,5,5,3,4,3,5,5,5,5,5,NA,NA,5,5,Mujer,23,388.1423213
101,Netflix;OCS;Amazone prime vidéo,Entre 30 minutos y 1 hora,TV réalité;aventure/action;thriller,3,NA,NA,5,NA,NA,NA,5,NA,NA,5,NA,NA,NA,NA,5,4,3,5,2,5,5,2,3,2,4,2,2,NA,NA,NA,NA,NA,5,NA,Mujer,21,301.4785901
102,Netflix;Canal+ série et/ou film,Entre 1 y 2 horas,Historica;Thriller,2,NA,NA,2,1,NA,5,NA,1,NA,NA,NA,NA,NA,2,NA,4,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,2,NA,Mujer,22,2129.5424193
103,Netflix;Canal+ série et/ou film;Apple TV+;disney+,Entre 30 minutos y 1 hora,TV réalité;horreur;aventure/action,4,5,NA,5,NA,NA,5,5,NA,5,NA,5,NA,5,5,NA,4,4,4,4,4,4,4,3,3,3,5,5,5,NA,NA,NA,NA,5,5,Mujer,20,199.5148316
104,Netflix;Canal+ série et/ou film;disney+,Entre 30 minutos y 1 hora,humour/comédie;aventure/action;drame,4,NA,NA,NA,NA,5,NA,NA,5,NA,NA,NA,NA,NA,5,NA,5,5,5,5,6,6,6,6,6,6,6,6,NA,5,NA,NA,NA,NA,NA,Mujer,18,410.2707393
105,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo,Entre 1 y 2 horas,Science Fiction;humour/comédie;aventure/action,1,1,NA,NA,NA,NA,NA,5,5,5,NA,NA,5,NA,NA,NA,4,4,5,2,6,3,5,5,3,5,3,3,NA,2,NA,1,5,NA,NA,Hombre,17,475.3582384
106,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 2 y 3 horas,aventure/action;historique;animé,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,Autre (précisez),18,467.6233939
107,Netflix,Entre 30 minutos y 1 hora,Science Fiction;aventure/action;animé,6,NA,NA,5,2,1,1,NA,NA,NA,NA,NA,5,NA,NA,NA,3,4,5,6,6,6,6,4,5,3,6,6,5,5,5,2,NA,5,NA,Hombre,19,239.1121346
108,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 2 y 3 horas,humour/comédie;horreur;aventure/action,6,NA,NA,NA,2,5,5,NA,NA,NA,NA,NA,NA,NA,5,NA,6,6,6,6,6,6,6,6,6,5,6,6,NA,NA,NA,NA,NA,NA,NA,Hombre,18,223.3502615
109,Netflix;OCS;Canal+ série et/ou film;Apple TV+,Entre 2 y 3 horas,Science Fiction;aventure/action;animé,5,5,NA,5,2,5,NA,NA,NA,NA,5,NA,NA,NA,5,NA,3,5,5,2,3,3,5,3,3,3,4,4,5,5,NA,NA,5,NA,5,Mujer,19,489.8515769
110,Netflix,Entre 30 minutos y 1 hora,humour/comédie;aventure/action;drame,4,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,6,6,6,6,6,3,5,4,6,6,4,NA,1,NA,NA,NA,NA,NA,Hombre,18,278.3762808
111,Netflix,Entre 30 minutos y 1 hora,humour/comédie;horreur;animé,6,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,5,5,5,2,6,6,5,6,5,4,2,3,NA,NA,NA,NA,NA,NA,2,Hombre,19,334.3673371
112,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo,Entre 1 y 2 horas,Ciencia Ficcion;Terror;Aventura/Accion,6,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,2,NA,NA,NA,3,6,6,2,6,5,3,3,1,4,3,3,NA,NA,NA,NA,5,5,5,Hombre,17,386.9239043
113,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+;autre (précisez),Entre 5 y 7 horas,Ciencia Ficcion;Biopic;Infantil,6,NA,NA,NA,1,NA,5,NA,NA,NA,1,1,1,NA,1,1,6,6,6,6,6,6,6,6,6,6,6,3,NA,NA,5,2,5,NA,NA,Hombre,20,628.8015905
114,Netflix;OCS;Amazone prime vidéo;disney+,Entre 3 y 5 horas,Terror;Aventura/Accion;Infantil,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,Hombre,18,205.1499185
115,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 2 y 3 horas,humour/comédie;aventure/action;drame,5,NA,NA,NA,2,5,5,NA,NA,NA,5,NA,NA,NA,5,5,3,5,4,3,4,4,6,6,6,3,6,6,5,NA,NA,NA,NA,NA,NA,Mujer,18,326.7515891
116,Netflix;Canal+ série et/ou film,Entre 1 y 2 horas,Science Fiction;TV réalité;aventure/action,3,5,NA,5,1,NA,NA,NA,5,5,NA,NA,5,NA,5,NA,5,5,5,5,5,4,5,5,4,5,6,6,NA,NA,NA,NA,NA,NA,NA,Hombre,19,256.8193155
117,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo,Entre 1 y 2 horas,humour/comédie;aventure/action;documentaire,5,NA,NA,5,NA,2,2,NA,NA,5,NA,2,NA,5,NA,NA,4,5,5,5,4,3,3,2,2,4,5,4,5,5,5,5,5,NA,NA,Hombre,20,277.0657318
118,Netflix;OCS;Canal+ série et/ou film;disney+,Entre 1 y 2 horas,humour/comédie;animé;romantique,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,NA,2,2,1,NA,Mujer,19,523.043035
119,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 1 y 2 horas,humour/comédie;aventure/action;thriller,5,NA,NA,NA,NA,NA,NA,5,NA,NA,2,1,2,5,5,NA,2,5,6,1,5,3,6,6,3,2,6,6,NA,NA,NA,1,5,5,NA,Hombre,18,381.1667392
120,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 1 y 2 horas,TV réalité;humour/comédie;aventure/action,5,NA,NA,NA,NA,5,5,5,5,NA,5,2,NA,NA,NA,5,4,5,6,2,6,6,6,6,4,5,6,6,NA,5,NA,5,NA,5,NA,Hombre,18,291.5313476
121,Netflix;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo,Entre 1 y 2 horas,humour/comédie;aventure/action;jeunesse et famille,3,NA,NA,NA,NA,NA,NA,5,5,NA,5,NA,NA,5,NA,NA,4,4,5,4,3,3,3,4,3,4,2,1,5,NA,NA,NA,5,NA,NA,Mujer,17,431.6016361
122,Netflix;autre (précisez),Entre 3 y 5 horas,humour/comédie;aventure/action;animé,4,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,NA,5,6,6,5,2,6,2,3,1,4,6,3,NA,NA,NA,NA,NA,NA,NA,Hombre,18,281.6229786
123,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 1 y 2 horas,humour/comédie;biopic (biographie);romantique,6,NA,NA,5,NA,5,5,NA,NA,5,5,NA,5,5,NA,NA,4,4,5,5,4,5,5,6,6,5,6,5,NA,NA,NA,5,5,NA,NA,Mujer,24,401.2527887
124,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 30 minutos y 1 hora,Drama;Biopic;Romantica,6,NA,NA,NA,NA,NA,NA,NA,5,NA,5,5,NA,NA,NA,NA,6,6,6,4,6,6,6,4,6,4,4,4,NA,NA,NA,NA,NA,NA,NA,Mujer,22,621.9598925
125,Netflix;autre (précisez),Entre 3 y 5 horas,Science Fiction;documentaire;animé,5,NA,NA,NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,3,5,4,6,2,5,2,4,5,5,5,NA,NA,5,5,5,Mujer,19,270.9650865
126,Netflix;Amazone prime vidéo,Entre 1 y 2 horas,Science Fiction;humour/comédie;aventure/action,5,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,5,5,6,5,6,4,4,3,5,6,6,6,6,6,NA,NA,NA,1,1,NA,NA,Mujer,18,291.4607918
127,Netflix;OCS,Entre 1 y 2 horas,humour/comédie;aventure/action;historique,5,NA,NA,NA,1,1,1,NA,1,NA,5,NA,NA,NA,NA,5,4,5,5,3,6,6,6,3,4,2,6,6,NA,2,NA,1,NA,NA,NA,Hombre,25,291.134974
128,Netflix;Apple TV+;Amazone prime vidéo,Entre 1 y 2 horas,TV réalité;drame;romantique,4,5,NA,NA,2,NA,2,NA,NA,NA,5,5,NA,NA,5,5,4,4,6,4,3,4,5,3,2,4,5,5,NA,5,5,5,5,NA,NA,Mujer,24,951.8307509
